1, 12
2, 12
3, 12
4, 12
5, 12
6, 11
7, 11
8, 11
9, 11
10, 11
11, 3
12, 3
13, 3
14, 3
15, 3
16, 9
17, 9
18, 9
19, 9
20, 9
21, 11
22, 11
23, 11
24, 11
25, 11
26, 8
27, 8
28, 8
29, 8
30, 8
31, 11
32, 11
33, 11
34, 11
35, 11
36, 4
37, 4
38, 4
39, 4
40, 4
41, 2
42, 2
43, 2
44, 2
45, 2
46, 1
47, 1
48, 1
49, 1
50, 1
51, 5
52, 5
53, 5
54, 5
55, 5
56, 10
57, 10
58, 10
59, 10
60, 10
61, 14
62, 14
63, 14
64, 14
65, 14
66, 13
67, 13
68, 13
69, 13
70, 13
71, 7
72, 7
73, 7
74, 7
75, 7
76, 4
77, 4
78, 4
79, 4
80, 4
81, 12
82, 12
83, 12
84, 12
85, 12
86, 15
87, 15
88, 15
89, 15
90, 15
91, 13
92, 13
93, 13
94, 13
95, 13
96, 6
97, 6
98, 6
99, 6
100, 6
101, 4
102, 4
103, 4
104, 4
105, 4
106, 6
107, 6
108, 6
109, 6
110, 6
111, 6
112, 6
113, 6
114, 6
115, 6
116, 11
117, 11
118, 11
119, 11
120, 11
121, 11
122, 11
123, 11
124, 11
125, 11
