1, 12
2, 2
3, 4
4, 12
5, 10
6, 10
7, 1
8, 9
9, 8
10, 12
11, 3
12, 8
13, 11
14, 6
15, 12
16, 2
17, 5
18, 11
19, 2
20, 2
21, 7
22, 12
23, 6
24, 7
25, 6
26, 7
27, 6
28, 10
29, 5
30, 2
31, 4
32, 7
33, 7
34, 5
35, 11
36, 10
37, 8
38, 4
39, 6
40, 6
41, 11
42, 6
43, 9
44, 11
45, 8
46, 7
47, 1
48, 10
49, 3
50, 2
51, 10
52, 7
53, 4
54, 9
55, 5
56, 4
57, 10
58, 7
59, 12
60, 7
61, 9
62, 5
63, 5
64, 3
65, 9
66, 11
67, 6
68, 2
69, 4
70, 4
71, 12
72, 11
73, 4
74, 1
75, 9
76, 9
77, 6
78, 3
79, 9
80, 5
81, 3
82, 6
83, 9
84, 12
85, 8
86, 12
87, 6
88, 11
89, 10
90, 2
91, 9
92, 6
93, 11
94, 1
95, 8
96, 3
97, 5
98, 11
99, 8
100, 7
101, 4
102, 10
103, 2
104, 10
105, 7
106, 10
107, 10
108, 8
109, 12
110, 10
111, 10
112, 10
113, 7
114, 5
115, 9
